6.197738647460937500e-01 8.500022888183593750e-01 7.870197296142578125e-01 2.771854400634765625e-01 1.376571655273437500e-01 2.286312294006347656e+01
9.257545471191406250e-01 9.464206695556640625e-01 6.938552856445312500e-02 2.865638732910156250e-01 1.794548034667968750e-01 2.362742424011230469e+01
2.397327423095703125e-01 2.436561584472656250e-01 -4.114131927490234375e-01 1.779613494873046875e-01 4.219264984130859375e-01 2.460071182250976562e+01
1.057708740234375000e+00 3.996181488037109375e-01 9.014129638671875000e-02 1.152324676513671875e-01 1.023788452148437500e-01 1.988577270507812500e+01
5.428199768066406250e-01 6.755619049072265625e-01 3.621349334716796875e-01 5.944805145263671875e-01 -6.915855407714843750e-02 2.365741729736328125e+01
1.032131195068359375e+00 1.472764968872070312e+00 6.595497131347656250e-01 1.962509155273437500e-01 -2.313804626464843750e-01 2.414450454711914062e+01
1.210681915283203125e+00 1.002490997314453125e+00 2.152290344238281250e-01 2.774047851562500000e-01 9.488525390625000000e-01 2.438622665405273438e+01
9.117660522460937500e-01 5.032119750976562500e-01 2.591247558593750000e-01 1.963043212890625000e-02 1.033840179443359375e-01 2.248302268981933594e+01
1.294355392456054688e+00 8.585681915283203125e-01 3.804321289062500000e-01 1.293277740478515625e-01 1.007404327392578125e-01 1.958917617797851562e+01
2.085931777954101562e+00 9.927139282226562500e-01 2.426319122314453125e-01 2.143802642822265625e-01 -7.440095520019531250e+01 2.505605506896972656e+01
1.863821029663085938e+00 1.109033584594726562e+00 4.346485137939453125e-01 2.688884735107421875e-01 1.470241546630859375e-01 2.073764610290527344e+01
6.005077362060546875e-01 1.190769195556640625e+00 4.376296997070312500e-01 9.800529479980468750e-02 -1.550495147705078125e+00 2.485412216186523438e+01
9.736061096191406250e-01 6.440505981445312500e-01 7.029495239257812500e-01 -2.873268127441406250e-01 -1.865768432617187500e-02 2.465644264221191406e+01
9.616432189941406250e-01 7.518196105957031250e-01 2.311916351318359375e-01 8.512306213378906250e-02 9.485054016113281250e-02 2.152193641662597656e+01
5.244026184082031250e-01 9.041824340820312500e-01 5.637111663818359375e-01 -2.022609710693359375e-01 -7.832984924316406250e-01 2.492451477050781250e+01
8.610019683837890625e-01 7.086830139160156250e-01 1.015686035156250000e+00 -9.678077697753906250e-02 -7.461119079589843750e+01 2.530771446228027344e+01
1.046625137329101562e+00 6.277484893798828125e-01 2.803745269775390625e-01 6.645393371582031250e-02 1.503868103027343750e-01 2.098762702941894531e+01
