1.121039986610412598e+00 5.569901964526128906e+12 1.192307844758033752e-02
7.739369869232177734e-01 2.543771290138140625e+12 1.755959146976238117e-06
4.358580112457275391e-01 8.537096182719123840e+10 6.923006474971771240e-02
8.444479703903198242e-01 2.635679695827068359e+12 5.626716651022434235e-03
1.556880027055740356e-01 7.782948433839692688e+10 3.015719354152679443e-03
4.597040116786956787e-01 1.211417466004787354e+12 2.188576199114322662e-02
5.761039853096008301e-01 1.153420650491147217e+12 3.383811563253402710e-02
7.775800228118896484e-01 5.425822141011527344e+12 4.614838398993015289e-03
9.786129742860794067e-02 7.623167245412904358e+10 5.577426403760910034e-03
9.084560275077819824e-01 7.040784658786813965e+11 2.480168454349040985e-02
3.263280093669891357e-01 3.958758535653718872e+11 6.547402590513229370e-03
4.606359899044036865e-01 1.743771320142585449e+11 8.364830166101455688e-02
9.108600020408630371e-01 1.013359059731271289e+13 2.352528041228652000e-03
3.854480087757110596e-01 3.137021396729478760e+11 9.289112687110900879e-02
6.418099999427795410e-01 2.568377935911681641e+12 3.282285661043715663e-06
9.839289784431457520e-01 5.403731334298785156e+12 6.998909520916640759e-04
6.053709983825683594e-01 2.454891573355747681e+11 9.663337841629981995e-03
4.542149901390075684e-01 5.540981855007457733e+10 1.903197020292282104e-01
2.305040061473846436e-01 2.635608054209916687e+10 1.722615510225296021e-01
7.648040056228637695e-01 2.213744384256446777e+12 1.729376614093780518e-02
8.013550043106079102e-01 5.114920075532919922e+11 1.059526875615119934e-01
1.024209976196289062e+00 7.518623459909678711e+12 1.474324706941843033e-02
5.191630125045776367e-01 1.222654015513239502e+12 1.411222944058820872e-10
5.297510027885437012e-01 2.756711083951571045e+11 4.162016883492469788e-02
6.844980120658874512e-01 2.606119317978916504e+12 9.709749370813369751e-03
3.692080080509185791e-01 8.050772303207769775e+10 1.755913048982620239e-01
8.944230079650878906e-01 7.450792951426849609e+12 2.142437500879168510e-03
1.064069986343383789e+00 1.206353103043808398e+13 9.523074689932187198e-11
3.244540095329284668e-01 3.417657676590180664e+11 2.748886356130242348e-03
2.547140121459960938e-01 2.118826584552431335e+11 3.917589765478624031e-06
2.939870059490203857e-01 3.264942693450304031e+10 6.353881210088729858e-03
4.017960131168365479e-01 3.544230801085953369e+11 2.105760388076305389e-02
3.013330101966857910e-01 6.573660107967967224e+10 1.561729609966278076e-01
3.201259970664978027e-01 1.375201351507266846e+11 6.517286598682403564e-02
5.503950119018554688e-01 1.531839769822668457e+12 1.909692073240876198e-03
1.123729944229125977e+00 1.347457202941934180e+13 4.022005572915077209e-02
7.103090286254882812e-01 6.588229273570450195e+12 4.580551292747259140e-03
9.757699966430664062e-01 8.344558285783745117e+12 3.892127722338045714e-07
4.375039935111999512e-01 2.777422843202301025e+11 7.068081945180892944e-02
6.606289744377136230e-01 1.426926810746942627e+12 1.581078581511974335e-02
5.501009821891784668e-01 1.304911752591539551e+12 1.280223834328353405e-03
3.076049983501434326e-01 1.182186467536994141e+12 1.616269908845424652e-02
3.985059857368469238e-01 4.293168769183724976e+11 1.233030781149864197e-01
4.362370073795318604e-01 1.212155438479138916e+12 3.984381435895301138e-10
4.028640091419219971e-01 1.689430758261583252e+11 2.166162431240081787e-01
6.105110049247741699e-01 5.723751275052822266e+11 4.820742085576057434e-02
5.765900015830993652e-01 1.569079224204876709e+12 3.638957813382148743e-02
